# curie_map:
#   ibm-granite-guardian: https://www.ibm.com/granite/guardian/
#   ibm-risk-atlas: https://www.ibm.com/docs/en/watsonx/saas?topic=
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
# license: https://www.apache.org/licenses/LICENSE-2.0.html
# mapping_date: '2025-07-22'
# mapping_set_description: Mappings between IBM Granite Guardian dimensions and IBM AI Risk Atlas risks
# mapping_set_id: https://github.com/IBM/ai-atlas-nexus/tree/main/src/data/mappings/granite_guardian_risk_mappings.tsv
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	confidence	author_id	mapping_date	comment
ibm-granite-guardian:granite-guardian-harm	Harm	skos:relatedMatch	ibm-risk-atlas:atlas-harmful-output	Harmful output	semapv:ManualMappingCuration		ingevejs@ie.ibm.com
ibm-granite-guardian:granite-social-bias	Social Bias	skos:relatedMatch	ibm-risk-atlas:atlas-output-bias	Output bias	semapv:ManualMappingCuration		ingevejs@ie.ibm.com
ibm-granite-guardian:granite-profanity	Profanity	skos:relatedMatch	ibm-risk-atlas:atlas-toxic-output	Toxic output	semapv:ManualMappingCuration		ingevejs@ie.ibm.com
ibm-granite-guardian:granite-sexual-content	Sexual Content	skos:relatedMatch	ibm-risk-atlas:atlas-harmful-output	Harmful output	semapv:ManualMappingCuration		ingevejs@ie.ibm.com
ibm-granite-guardian:granite-unethical-behavior	Unethical Behavior	skos:relatedMatch	ibm-risk-atlas:atlas-harmful-output	Harmful output	semapv:ManualMappingCuration		ingevejs@ie.ibm.com
ibm-granite-guardian:granite-violence	Violence	skos:relatedMatch	ibm-risk-atlas:atlas-harmful-output	Harmful output	semapv:ManualMappingCuration		ingevejs@ie.ibm.com
ibm-granite-guardian:granite-jailbreak	Jailbreaking	skos:relatedMatch	ibm-risk-atlas:atlas-jailbreaking	Jailbreaking	semapv:ManualMappingCuration		ingevejs@ie.ibm.com
ibm-granite-guardian:granite-harm-engagement	Harm Engagement	skos:relatedMatch	ibm-risk-atlas:atlas-harmful-output	Harmful output	semapv:ManualMappingCuration		ingevejs@ie.ibm.com
ibm-granite-guardian:granite-evasiveness	Evasiveness	skos:relatedMatch	ibm-risk-atlas:atlas-harmful-output	Harmful output	semapv:ManualMappingCuration		ingevejs@ie.ibm.com
ibm-granite-guardian:granite-groundedness	Groundedness	skos:relatedMatch	ibm-risk-atlas:atlas-hallucination	Hallucination	semapv:ManualMappingCuration		ingevejs@ie.ibm.com
ibm-granite-guardian:granite-relevance	Context Relevance	skos:relatedMatch	ibm-risk-atlas:atlas-hallucination	Hallucination	semapv:ManualMappingCuration		ingevejs@ie.ibm.com
ibm-granite-guardian:granite-answer-relevance	Answer Relevance	skos:relatedMatch	ibm-risk-atlas:atlas-hallucination	Hallucination	semapv:ManualMappingCuration		ingevejs@ie.ibm.com
ibm-granite-guardian:granite-function-call	Function Calling Hallucination	skos:relatedMatch	ibm-risk-atlas:atlas-hallucination	Hallucination	semapv:ManualMappingCuration		ingevejs@ie.ibm.com
